type_train,algorithm,model,train_acc,test_acc,test_matrix,val_acc,val_matrix
ml_pca_scaled,knn_4,KNeighborsClassifier(n_neighbors=2),97.9676197,94.50186027,[[2295   98] [ 168 2277]],94.46166563,[[2281  109] [ 159 2290]]
ml_pca_scaled,logistic_regression_5,LogisticRegression(),86.95831898,86.81273253,[[1871  522] [ 116 2329]],86.79479231,[[1854  536] [ 103 2346]]
ml_pca_scaled,svc_5,SVC(),95.02583534,94.54319967,[[2138  255] [   9 2436]],94.25501137,[[2117  273] [   5 2444]]
ml_pca_scaled,random_forest_5,RandomForestClassifier(),100.0,97.00289376,[[2274  119] [  26 2419]],96.71419715,[[2265  125] [  34 2415]]
ml_pca_scaled,naive_bayes_5,GaussianNB(),89.28005512,89.5824721,[[1989  404] [ 100 2345]],89.17131639,[[1980  410] [ 114 2335]]
ml_pca_scaled,decision_tree_5,DecisionTreeClassifier(),100.0,94.41918148,[[2266  127] [ 143 2302]],94.79231246,[[2261  129] [ 123 2326]]
ml_pca_scaled,knn_5,KNeighborsClassifier(n_neighbors=2),98.34653806,94.89458454,[[2306   87] [ 160 2285]],94.85430874,[[2293   97] [ 152 2297]]
ml_pca_scaled,logistic_regression_6,LogisticRegression(),94.14398898,94.2331542,[[2146  247] [  32 2413]],93.65571399,[[2112  278] [  29 2420]]
ml_pca_scaled,svc_6,SVC(),95.4598691,95.24596941,[[2164  229] [   1 2444]],94.73031618,[[2136  254] [   1 2448]]
ml_pca_scaled,random_forest_6,RandomForestClassifier(),100.0,97.45762712,[[2288  105] [  18 2427]],97.18950196,[[2277  113] [  23 2426]]
ml_pca_scaled,naive_bayes_6,GaussianNB(),88.98380985,89.27242662,[[1973  420] [  99 2346]],88.65468072,[[1960  430] [ 119 2330]]
ml_pca_scaled,decision_tree_6,DecisionTreeClassifier(),100.0,95.59735428,[[2288  105] [ 108 2337]],94.83364331,[[2269  121] [ 129 2320]]
ml_pca_scaled,knn_6,KNeighborsClassifier(n_neighbors=2),98.73234585,95.59735428,[[2311   82] [ 131 2314]],95.86691465,[[2302   88] [ 112 2337]]
ml_pca,logistic_regression_1,LogisticRegression(),41.3089907,39.89251757,[[1930  463] [2445    0]],40.52490184,[[1961  429] [2449    0]]
ml_pca,svc_1,SVC(),89.61763693,89.66515089,[[1932  461] [  39 2406]],89.6466212,[[1929  461] [  40 2409]]
ml_pca,random_forest_1,RandomForestClassifier(),99.59352394,86.44067797,[[2074  319] [ 337 2108]],86.79479231,[[2080  310] [ 329 2120]]
ml_pca,naive_bayes_1,GaussianNB(),90.42369962,90.38859033,[[1995  398] [  67 2378]],90.39057657,[[1992  398] [  67 2382]]
ml_pca,decision_tree_1,DecisionTreeClassifier(),99.60730279,86.0892931,[[2075  318] [ 355 2090]],86.56747262,[[2080  310] [ 340 2109]]
ml_pca,knn_1,KNeighborsClassifier(n_neighbors=2),93.77884947,84.18768086,[[2174  219] [ 546 1899]],84.25294482,[[2177  213] [ 549 1900]]
ml_pca,logistic_regression_2,LogisticRegression(),67.13744402,66.94915254,[[1080 1313] [ 286 2159]],65.75738789,[[1067 1323] [ 334 2115]]
ml_pca,svc_2,SVC(),89.48673786,89.43778421,[[1918  475] [  36 2409]],89.52262864,[[1915  475] [  32 2417]]
ml_pca,random_forest_2,RandomForestClassifier(),100.0,91.62877222,[[2142  251] [ 154 2291]],91.44451333,[[2124  266] [ 148 2301]]
ml_pca,naive_bayes_2,GaussianNB(),89.87254564,90.16122365,[[2001  392] [  84 2361]],90.03926431,[[1994  396] [  86 2363]]
ml_pca,decision_tree_2,DecisionTreeClassifier(),100.0,88.83836296,[[2140  253] [ 287 2158]],88.48935731,[[2127  263] [ 294 2155]]
ml_pca,knn_2,KNeighborsClassifier(n_neighbors=2),94.08198415,86.37866887,[[2202  191] [ 468 1977]],86.91878487,[[2206  184] [ 449 2000]]
ml_pca,logistic_regression_3,LogisticRegression(),83.63072683,83.17486565,[[1593  800] [  14 2431]],82.8476958,[[1573  817] [  13 2436]]
ml_pca,svc_3,SVC(),94.98449879,94.46052088,[[2139  254] [  14 2431]],94.39966935,[[2125  265] [   6 2443]]
ml_pca,random_forest_3,RandomForestClassifier(),99.99311058,96.506821,[[2270  123] [  46 2399]],96.46621203,[[2264  126] [  45 2404]]
ml_pca,naive_bayes_3,GaussianNB(),90.76128143,90.6986358,[[2029  364] [  86 2359]],90.70055797,[[2029  361] [  89 2360]]
ml_pca,decision_tree_3,DecisionTreeClassifier(),100.0,95.3699876,[[2281  112] [ 112 2333]],94.87497417,[[2262  128] [ 120 2329]]
ml_pca,knn_3,KNeighborsClassifier(n_neighbors=2),97.82294178,94.02645721,[[2304   89] [ 200 2245]],93.90369911,[[2293   97] [ 198 2251]]
ml_pca,logistic_regression_4,LogisticRegression(),86.69652084,86.25465068,[[1772  621] [  44 2401]],86.21616036,[[1761  629] [  38 2411]]
ml_pca,svc_4,SVC(),94.9018257,94.33650269,[[2135  258] [  16 2429]],94.33767307,[[2124  266] [   8 2441]]
ml_pca,random_forest_4,RandomForestClassifier(),100.0,96.96155436,[[2285  108] [  39 2406]],96.77619343,[[2273  117] [  39 2410]]
ml_pca,naive_bayes_4,GaussianNB(),90.03789184,89.97519636,[[2016  377] [ 108 2337]],89.77061376,[[2009  381] [ 114 2335]]
ml_pca,decision_tree_4,DecisionTreeClassifier(),100.0,95.74204217,[[2284  109] [  97 2348]],95.35027898,[[2279  111] [ 114 2335]]
ml_pca,knn_4,KNeighborsClassifier(n_neighbors=2),98.31209094,94.91525424,[[2301   92] [ 154 2291]],94.9783013,[[2278  112] [ 131 2318]]
ml_pca,logistic_regression_5,LogisticRegression(),88.33620393,88.21827201,[[1831  562] [   8 2437]],88.22070676,[[1829  561] [   9 2440]]
ml_pca,svc_5,SVC(),95.30830176,94.93592394,[[2156  237] [   8 2437]],94.81297789,[[2143  247] [   4 2445]]
ml_pca,random_forest_5,RandomForestClassifier(),100.0,97.25093014,[[2289  104] [  29 2416]],97.14817111,[[2285  105] [  33 2416]]
ml_pca,naive_bayes_5,GaussianNB(),91.02307957,90.6986358,[[2032  361] [  89 2356]],90.67989254,[[2036  354] [  97 2352]]
ml_pca,decision_tree_5,DecisionTreeClassifier(),100.0,95.74204217,[[2295   98] [ 108 2337]],95.68092581,[[2290  100] [ 109 2340]]
